Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
997,SAMUS : South African Music Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
998,SATJ : South African Theatre Journal,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
999,Scholia : Studies in Classical Antiquity,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
1000,Scientia Militaria : South African Journal of Military Studies,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
1001,Scientific Papers of the Namib Desert Research Station,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1002,Scriptura : Journal for Contextual Hermeneutics in Southern Africa,SABINET Journal repository,1,0,0,1,1,0,0,0,1,0,0,1
1003,Scrutinyno,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
1004,Servamus Community-based Safety and Security Magazine,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
1005,SIMM-biosis/SIMM-biose,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1006,Skills at Work: Theory and Practice Journal,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1007,"Slavic Almanac : The South African Journal for Slavic, Central and Eastern European Studies",SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1008,Social and Health Sciences,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1009,The Social Work Practitioner-Researcher,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1010,South Africa Business Guidebook,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1011,South Africa Rural Development Quarterly,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
1012,South African Computer Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
1013,South African Dental Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1014,South African Food Review,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1015,South African General Practitioner,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1016,South African Geographical Journal = Suid-Afrikaanse Geografiese Tydskrif,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
1017,South African Health Review,SABINET Journal repository,1,0,0,1,1,0,1,0,1,0,0,1
1018,South African Historical Journal,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
1019,South African Intellectual Property Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1020,South African Journal of Agricultural Science,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1021,South African Journal of Art History,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1022,South African Journal of Business Management,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
1023,South African Journal of Chemical Engineering,SABINET Journal repository,1,1,1,1,1,1,1,1,1,0,0,1
1024,South African Journal of Childhood Education,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
1025,South African Journal of Communication Disorders,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
1026,South African Journal of Criminal Justice,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1027,South African Journal of Diabetes,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1028,South African Journal of Diabetes and Vascular Disease,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1029,South African Journal of Economic and Management Sciences,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
1030,South African Journal of Economic History,SABINET Journal repository,0,0,0,0,0,0,0,1,0,0,0,1
1031,South African Journal of Environmental Law and Policy,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1032,South African Journal of Environmental Law and Policy - latest Issue,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1033,South African Journal of Ethnology,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1034,South African Journal of Geology,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
1035,South African Journal of Industrial Engineering,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
1036,South African Journal of Information Management,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
1037,South African Journal of Labour Relations,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1038,South African Journal of Libraries and Information Science,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
1039,South African Journal of Philosophy = Suid-Afrikaanse Tydskrif vir Wysbegeerte,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1040,South African Journal of Physiotherapy,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
1041,South African Journal of Psychology,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
1042,South African Journal of Wildlife Research - no4-month delayed open access,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1043,South African Journal on Human Rights,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
1044,South African Law Journal,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
1045,South African Museums Association Bulletin,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1046,South African Ophthalmology Journal,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1047,South African Orthopaedic Journal,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1048,South African Pharmaceutical and Cosmetic Review,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1049,South African Psychiatry Review,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
1050,South African Radiographer,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1051,South African Statistical Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
1052,South African Yearbook of International Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1053,South African Yearbook of International Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1054,Southern African Field Archaeology,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1055,Southern African Forestry Journal,SABINET Journal repository,0,0,0,0,0,0,1,1,0,0,0,1
1056,Southern African Humanities,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
1057,Southern African Journal for Folklore Studies,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1058,Southern African Journal of Accountability and Auditing Research,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1059,Southern African Journal of Demography,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1060,The Southern African Journal of Entrepreneurship and Small Business Management,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
1061,Southern African Journal of Epidemiology and Infection,SABINET Journal repository,0,1,0,1,1,0,1,1,1,0,0,1
1062,Southern African Journal of Gynaecological Oncology,SABINET Journal repository,0,0,0,0,1,1,1,0,1,0,0,1
1063,Southern African Journal of Infectious Diseases,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
1064,The Southern African Journal of Information and Communication,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1065,Southern African Journal of Public Health incorporating Strengthening Health Systems,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
1066,Southern African Journal of Social Work and Social Development,SABINET Journal repository,1,1,1,1,0,0,1,0,1,0,0,1
1067,Southern African Public Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1068,Southern African Review of Education with Education with Production,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1069,Southern Journal for Contemporary History,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
1070,The Specialist Forum,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1071,Specifier,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
1072,Stads- en Streeksbeplanning = Town and Regional Planning,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1073,Stellenbosch Law Review,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1074,Stellenbosch Theological Journal,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1075,Stilet : Tydskrif van die Afrikaanse Letterkundevereniging,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
1076,Stockfarm,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1077,Studies in Economics and Econometrics,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
1078,Suid-Afrikaanse Tydskrif vir Natuurwetenskap en Tegnologie,SABINET Journal repository,1,0,0,1,0,0,1,1,1,0,0,1
1079,Tanzania Zamani,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1080,Tax Breaks,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1081,Tax Professional,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
1082,TAXtalk,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1083,TD : The Journal for Transdisciplinary Research in Southern Africa,SABINET Journal repository,1,0,0,1,0,0,0,0,1,0,0,1
1084,TFM Magazine,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
1085,Theologia Viatorum,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1086,Track Two : Constructive Approaches to Community and Political Conflict,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
1087,Transactions of the Centre for Business Law,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1088,Transactions of the Royal Society of South Africa,SABINET Journal repository,1,1,1,1,0,0,1,1,0,0,0,1
1089,Transformation in Higher Education,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
1090,Transport World Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
1091,Transvaal Agricultural Journal,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1092,Transvaal Museum Memoirs,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
1093,Transvaal Museum Monographs,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
